super_catalog_id,vendor_id,original_min,original_max,new_min,new_max,original_diff,new_diff
7501072350305,1156,2195.3745000000004,2102.09,2081.0691,2195.3745000000004,93.28450000000021,114.30540000000019
7896006202523,1156,893.5542,864.54,855.8946,893.5542,29.014200000000073,37.65960000000007
7501701400081,1156,2655.1899000000003,2311.76,2288.6424,2655.1899000000003,343.4299000000001,366.5475000000001
7501871720934,1156,638.9064,630.78,624.4721999999999,638.9064,8.12639999999999,14.434200000000033
7501871720941,1156,1755.7254,1742.27,1724.8473,1755.7254,13.455400000000054,30.87810000000013
7501328978383,1156,601.3062,583.63,577.7937,601.3062,17.676199999999994,23.512500000000045
7501258208055,1156,276.5169,267.45,264.77549999999997,276.5169,9.066900000000032,11.741400000000056
7501070615376,1156,800.415,762.3,754.6769999999999,800.415,38.11500000000001,45.738000000000056
7502246640628,1156,962.4582,895.62,886.6638,962.4582,66.83820000000003,75.7944
7501385410000,1156,717.4331999999999,671.22,664.5078,717.4331999999999,46.213199999999915,52.92539999999997
7508304413289,1156,262.0035,251.81,249.2919,262.0035,10.193499999999972,12.711599999999976
3594450170071,1156,1181.3472,1125.3,1114.047,1181.3472,56.047199999999975,67.3001999999999
7501070615512,1156,1145.9052,1125.3,1114.047,1145.9052,20.605199999999968,31.858199999999897
7502242700708,1156,103.8213,101.72,100.7028,103.8213,2.101299999999995,3.1184999999999974
354312425106,1156,23.463,22.72,22.4928,23.463,0.7430000000000021,0.970200000000002
354312425403,1156,23.463,22.72,22.4928,23.463,0.7430000000000021,0.970200000000002
7501048331109,1156,69.3,57.58,57.0042,69.3,11.719999999999999,12.2958
7501006824124,1156,54.5589,41.32,40.9068,54.5589,13.238900000000001,13.652100000000004
7509546063461,1156,63.855,53.8,53.26199999999999,63.855,10.055,10.593000000000004
7509546073767,1156,56.43,53.8,53.26199999999999,56.43,2.6300000000000026,3.1680000000000064
7509546015514,1156,50.292,49.09,48.5991,50.292,1.2019999999999982,1.6929000000000016
7501046195215,1156,11.781,11.34,11.2266,11.781,0.4410000000000007,0.5544000000000011
7509546078434,1156,56.0835,52.04,51.5196,56.0835,4.043500000000002,4.563900000000004
7509546064697,1156,56.43,53.8,53.26199999999999,56.43,2.6300000000000026,3.1680000000000064
7501035909007,1156,49.7871,47.97,47.4903,49.7871,1.8171000000000035,2.2968000000000046
7509546651743,1156,56.43,53.8,53.26199999999999,56.43,2.6300000000000026,3.1680000000000064
7501035909014,1156,49.0347,47.97,47.4903,49.0347,1.064700000000002,1.544400000000003
7501701400906,1156,940.5693,913.65,904.5135,940.5693,26.91930000000002,36.05579999999998
7501287686404,1156,672.2397,587.84,581.9616,672.2397,84.39969999999994,90.2781
7501108768852,1156,146.17350000000002,144.89,143.44109999999998,146.17350000000002,1.283500000000032,2.732400000000041
7501385440137,1156,955.9242,910.8,901.6919999999999,955.9242,45.12420000000009,54.23220000000015
7501871721016,1156,376.002,373.24,369.5076,376.002,2.7620000000000005,6.494399999999985
729208216104,1156,928.0359,867.97,859.2903,928.0359,60.06589999999994,68.74559999999997
7730979097680,1156,421.5519,407.86,403.7814,421.5519,13.691899999999976,17.77049999999997
7501326000215,1156,2236.113,2115.91,2094.7509,2236.113,120.20299999999997,141.36209999999983
7501065013668,1156,127.64466,100.15,99.1485,127.64466,27.494659999999996,28.496160000000003
7501057002120,1156,423.3141,421.14,416.92859999999996,423.3141,2.17410000000001,6.385500000000036
7501027551306,1156,34.3926,33.73,33.3927,34.3926,0.6626000000000047,0.9999000000000038
7501103306691,1156,11.2266,11.0,10.89,11.2266,0.22659999999999947,0.3365999999999989
7501369200078,1156,124.6311,113.01,111.8799,124.6311,11.621099999999998,12.751199999999997
7501871720880,1156,1059.2604,1055.25,1044.6975,1059.2604,4.0103999999998905,14.5628999999999
7730979095341,1156,1675.9215,1640.36,1623.9563999999998,1675.9215,35.561500000000024,51.96510000000012
7795367551731,1156,2594.592,2574.55,2548.8045,2594.592,20.041999999999916,45.78749999999991
7795367551748,1156,2594.592,2574.55,2548.8045,2594.592,20.041999999999916,45.78749999999991
7501701406519,1156,808.7112,723.64,716.4036,808.7112,85.07119999999998,92.30759999999998
7501314703111,1156,273.4974,265.84,263.18159999999995,273.4974,7.657400000000052,10.315800000000081
7501287668325,1156,644.5692,580.55,574.7444999999999,644.5692,64.01920000000007,69.82470000000012
7501072340108,1156,446.688,425.6,421.344,446.688,21.087999999999965,25.343999999999994
8020030053175,1156,370.3095,349.8,346.302,370.3095,20.509500000000003,24.007499999999993
7502223556386,1156,1165.2003,1056.0,1045.44,1165.2003,109.20029999999997,119.76029999999992
7506425600380,1156,18.4734,16.46,16.2954,18.4734,2.0134000000000007,2.178000000000001
7506246000116,1156,14.7906,14.78,14.6322,14.7906,0.010600000000000165,0.15840000000000032
7501006871722,1156,37.5012,34.42,34.0758,37.5012,3.0811999999999955,3.4253999999999962
7501463301060,1156,38.3328,38.22,37.8378,38.3328,0.11280000000000001,0.49499999999999744
7501463301176,1156,37.3725,37.28,36.9072,37.3725,0.09250000000000114,0.46529999999999916
70942121842,1156,14.7312,14.46,14.3154,14.7312,0.27119999999999855,0.41579999999999906
70942125611,1156,38.412,37.72,37.3428,38.412,0.6920000000000002,1.0692000000000021
9002240001022,1156,112.0185,110.02,108.9198,112.0185,1.998500000000007,3.098700000000008
70942302463,1156,69.7752,68.52,67.8348,69.7752,1.255200000000002,1.9403999999999968
7896006223641,1156,458.2116,443.33,438.89669999999995,458.2116,14.881599999999992,19.314900000000023
7500435126816,1156,65.37960000000001,63.52,62.884800000000006,65.37960000000001,1.8596000000000075,2.494800000000005
7500435126809,1156,65.37960000000001,63.52,62.884800000000006,65.37960000000001,1.8596000000000075,2.494800000000005
7501385420238,1156,342.02520000000004,339.9,336.501,342.02520000000004,2.1252000000000635,5.524200000000064
7800005082123,1156,62.8551,59.61,59.0139,62.8551,3.2451000000000008,3.8412000000000006
7501082203110,1156,339.768,323.4,320.166,339.768,16.367999999999995,19.601999999999975
7841141002828,1156,425.6604,424.52,420.27479999999997,425.6604,1.1403999999999996,5.385600000000011
7841141002835,1156,538.0947,536.66,531.2934,538.0947,1.4347000000000207,6.801299999999969
4008976681823,1156,509.454,495.02,490.0698,509.454,14.434000000000026,19.38420000000002
7501103305885,1156,17.9784,17.89,17.711100000000002,17.9784,0.08840000000000003,0.26729999999999876
7501103305854,1156,18.1764,17.89,17.711100000000002,18.1764,0.28640000000000043,0.46529999999999916
7501022151198,1156,38.4615,37.35,36.9765,38.4615,1.1114999999999995,1.4849999999999994
7501022150917,1156,18.1962,17.34,17.1666,18.1962,0.8562000000000012,1.029600000000002
7509546682266,1156,15.8301,15.59,15.434099999999999,15.8301,0.24009999999999998,0.3960000000000008
