"point_of_sale_id","super_catalog_id","unidades_pedidas","precio_minimo"
1588,"070501051054",1.000,80.520
1589,"070501051054",4.000,80.520
1590,"070501051054",2.000,80.520
1448,"070501053553",2.000,80.520
1588,"070501053553",2.000,80.520
1589,"070501053553",3.000,80.520
1590,"070501053553",1.000,80.520
1590,"070501053652",1.000,142.410
1588,"070942003308",1.000,42.020
1291,"070942004114",3.000,27.800
1588,"070942004428",1.000,26.510
1741,"070942004428",3.000,26.510
1291,"070942005784",3.000,52.220
1590,"070942123402",1.000,25.860
1291,"070942125352",5.000,100.120
1311,"070942125352",2.000,100.120
1590,"070942125352",1.000,105.390
1679,"070942125352",1.000,103.280
1741,"070942125352",2.000,105.390
1311,"070942125611",1.000,37.640
1590,"070942125611",3.000,38.800
1291,"070942302319",5.000,36.200
1311,"070942302319",1.000,36.200
1589,"070942302357",1.000,24.570
1311,"070942302388",2.000,18.750
1588,"070942302388",5.000,18.750
1589,"070942302388",1.000,18.750
2139,"070942302388",1.000,18.750
1590,"070942302463",1.000,70.480
1679,"070942302463",2.000,70.480
724,"070942303194",2.000,39.510
1588,"070942303460",3.000,70.480
1589,"070942303460",1.000,70.480
1238,"070942304177",1.000,49.800
1588,"070942304726",3.000,36.200
1590,"070942304733",3.000,36.200
1114,"070942306805",1.000,21.980
1681,"070942306805",1.000,21.980
1448,"070942307109",6.000,13.580
1291,"070942501248",5.000,56.900
1311,"070942501248",4.000,56.900
1114,"070942507240",6.000,43.270
1238,"070942507240",1.000,44.610
1291,"070942507240",10.000,43.270
1311,"070942507240",12.000,43.270
1448,"070942507240",2.000,43.270
1588,"070942507240",7.000,44.610
1589,"070942507240",1.000,44.610
1590,"070942507240",1.000,44.610
1682,"070942507240",1.000,44.610
1448,"070942901536",2.000,48.920
1588,"070942901536",1.000,50.430
1589,"070942901536",2.000,50.430
1182,"0714706100307",2.000,64.050
1182,"0714706904028",1.000,46.220
1182,"0714706910487",11.000,28.200
1182,"0714706910609",2.000,74.070
1182,"0714706910890",12.000,28.200
1182,"0714908100013",5.000,36.220
1182,"0714908100228",5.000,56.090
1182,"0714908101485",5.000,51.590
1182,"0714908107920",10.000,74.000
1588,"071603001237",3.000,25.600
1588,"071603002135",5.000,21.700
1589,"071603002135",5.000,21.700
1590,"071603002135",1.000,22.620
1589,"071603002197",3.000,90.700
1589,"071603002203",1.000,141.600
1590,"071603002203",1.000,148.450
1588,"071603002234",1.000,15.430
1589,"071603002234",2.000,15.430
1588,"071603005198",8.000,19.470
1589,"071603005198",14.000,19.470
1291,"071603064294",3.000,62.910
1590,"071603064294",3.000,59.610
1590,"072140018023",4.000,70.790
1182,"0729513130065",12.000,15.370
1182,"0729513132076",3.000,121.940
1182,"0729513132229",3.000,237.950
1182,"0736085011937",1.000,227.870
1182,"0736085132069",10.000,63.920
1182,"0736085171051",1.000,247.520
1182,"0736085278453",2.000,196.010
1182,"0736085278507",27.000,60.100
1182,"0736085280005",1.000,420.050
1238,"0736085400489",1.000,357.440
1182,"0736085400571",2.000,319.830
1182,"0736085405422",4.000,133.100
1182,"0736085410587",1.000,464.480
1311,"073796451011",1.000,756.000
1679,"073796612429",2.000,590.000
1679,"073796612726",1.000,460.000
1681,"073796612726",1.000,460.000
1682,"073796612726",1.000,460.000
1238,"073796712020",2.000,604.400
1448,"073796712020",2.000,604.400
1679,"073796712020",2.000,593.820
1682,"073796712020",1.000,604.400
2138,"073796712020",1.000,604.400
1311,"073796715601",1.000,690.000
