,super_catalog_id,vendor_id,max_price,precio_minimo_orders,min_price
43151,7501349020535,1152,69.13861806497,67.5,66.825
43152,7502216804715,1152,161.22111946059,286.84,283.97159999999997
43153,7502216799301,1152,161.3688080017,147.38,145.90619999999998
43154,7501349020542,1152,131.48153481549002,121.15,119.9385
43155,7502216803138,1152,130.68600648025,119.6,118.404
43156,7503004908707,1152,21.21663251827,15.54,15.384599999999999
43157,7501563381146,1152,5.682000281750001,11.0,10.89
43159,7503049078205,1152,59.092802930199994,61.18,60.5682
43160,7502216804876,1152,41.564616867670004,43.95,43.5105
43161,7502216793392,1152,43.7627516813,44.62,44.1738
43162,7501075717174,1152,39.66041026241,39.06,38.6694
43163,7501122969808,1152,92.34387823816,95.61,94.6539
43164,7501122900801,1152,124.99260839088,78.0,77.22
43165,7501075718041,1152,19.71656512557,19.28,19.0872
43166,7501075723397,1152,55.64950592988,60.09,59.4891
43167,7501075723403,1152,111.29901185976,109.68,108.5832
43168,650240007828,1152,33.14472796737,32.669,32.34231
43169,650240035401,1152,33.14472796737,36.54,36.1746
43170,650240004643,1152,33.14472796737,36.54,36.1746
43171,650240004292,1152,33.14472796737,36.54,36.1746
43172,650240009563,1152,33.14472796737,36.54,36.1746
43173,7501022150818,1152,19.06051504629,15.93,15.7707
43174,7501022150092,1152,20.210534516830002,16.59,16.4241
43175,7501022105191,1152,12.78911288236,11.28,11.1672
43176,7501943484238,1152,10.04214465435,10.19,10.088099999999999
43178,7501022150214,1152,17.63974934898,16.17,16.008300000000002
43179,7501022150412,1152,17.65588014451,17.257,17.08443
43180,759684313400,1152,37.91529000588,39.86,39.4614
43181,75313036,1152,21.99168343643,20.64,20.433600000000002
43182,759684031663,1152,32.49418360872,33.56,33.2244
43183,759684317408,1152,31.84788928003,35.39,35.0361
43184,759684317354,1152,31.84788928003,34.05,33.7095
43189,7506504900080,1152,59.81666030566,62.54,61.9146
43190,7506022301789,1152,145.05429526752,164.885,163.23614999999998
43191,7506022305428,1152,21.97922312132,22.531,22.30569
43192,7506022301772,1152,144.77881605284,177.08,175.3092
43193,7501128114301,1152,7.52873489096,5.97,5.910299999999999
43194,7506022301826,1152,175.06588183006002,194.9,192.951
43195,7502227879566,1152,117.77654047675,117.76,116.5824
43197,7501122964902,1152,153.42540541487,108.46,107.3754
43198,7500462933777,1152,25.63164091399,26.3,26.037
43199,7502223112360,1152,31.4328352178,29.76,29.462400000000002
43202,7501471888249,1152,120.74248183929001,105.1,104.04899999999999
43203,7501089803177,1152,280.6866,217.97,215.7903
43204,7501089803160,1152,145.5589,143.88,142.44119999999998
43205,7502227873991,1152,33.97840998066,36.91,36.54089999999999
43206,780083144814,1152,28.0463340724,29.036,28.74564
43207,780083140540,1152,19.88704928192,19.97,19.7703
43208,780083148928,1152,35.80370125689,35.01,34.6599
43209,7502211780229,1152,25.193984419699998,23.983,23.74317
43211,7501277073009,1152,22.921184307,22.39,22.1661
43212,7501349020979,1152,31.158901468560003,28.0,27.72
43213,7502216803893,1152,7.386648662070001,7.43,7.3557
43214,7502216801196,1152,6.8184003381,5.15,5.0985000000000005
43215,7501349024328,1152,4.26152435921,4.412,4.3678799999999995
43216,7501349023369,1152,7.22746572175,6.7,6.633
43217,7501349024267,1152,10.28903275839,8.59,8.5041
43218,7501125180583,1152,14.7505017089,15.42,15.2658
43219,7502216808386,1152,12.18589840281,12.26,12.1374
