,super_catalog_id,precio_minimo_orders
181,37836040252,33.45
182,37836040306,57.0
183,37836040375,52.78
184,37836041259,14.2
185,37836041266,29.17
186,37836041273,37.13
187,37836041297,14.25
188,37836041303,29.17
189,37836041310,38.76
190,37836041341,14.48
191,37836041358,29.17
192,37836041365,37.98
193,37836041389,14.88
194,37836050305,42.84
195,37836050312,42.84
196,37836050725,18.74
197,37836050923,69.06
198,37836051012,46.32
199,37836051227,42.84
200,37836051500,17.05
201,37836084713,56.95
202,37836092770,32.67
203,41388284316,170.83
204,47400179240,96.94
205,47400179660,173.84
206,48526000807,25.76
207,48526001729,33.67
208,48526003327,23.04
209,48526053056,48.51
210,56100024798,23.7
211,56100663546,25.98
212,67238891190,25.5
213,70942003308,40.76
214,70942003469,16.16
215,70942004114,27.8
216,70942004428,26.51
217,70942005500,34.27
218,70942121842,13.13
219,70942122863,45.27
220,70942125352,98.12
221,70942125611,37.64
222,70942302289,133.59
223,70942302357,24.57
224,70942302388,18.75
225,70942302401,52.77
226,70942302463,70.48
227,70942303194,37.53
228,70942304726,36.2
229,70942304733,35.11
230,70942307109,13.58
231,70942501248,56.9
232,70942507240,41.75
233,70942901536,46.45
234,70942914147,70.48
235,73796451011,756.0
236,73796612429,590.0
237,73796612726,460.0
238,73796712020,593.82
239,73796715601,690.0
240,73796801212,896.7
241,73796803216,840.97
242,93815704270,164.51
243,300090010072,662.01
244,300090017125,1021.47
245,300090029081,290.02
246,300090029326,736.25
247,300090050139,123.89
248,300090055097,402.5
249,300090055356,865.07
250,300090090074,622.31
251,300090090333,1296.1
252,300090094119,1034.3
253,300090275051,250.0
254,300090286200,274.16
255,300090300609,427.6
256,300090444037,224.93
257,300090555412,387.69
258,300090556365,630.74
259,300090775018,279.42
260,300090870010,202.22
261,300090887018,456.6
262,300092960016,651.0
263,300092960030,872.57
264,300093331020,315.09
265,300650454179,491.65
266,300650481779,475.49
267,300651431681,348.68
268,300651433272,467.13
269,300651507966,436.5
270,300651510577,486.17
271,300653145333,122.62
272,300653145357,80.54
273,300653610800,84.4
274,310119021996,88.61
275,310119033227,82.61
276,310119033340,137.59
277,310119034347,59.92
278,310119037799,88.42
279,310119043202,66.43
280,310119043219,92.06
281,310119043226,145.68
282,310119052136,80.68
283,310119056158,124.74
284,310158077046,70.01
285,310158081111,65.41
286,310158085041,68.91
287,310742036909,81.28
288,310742036916,96.2
289,312547321808,44.55
290,312547321815,76.29
291,324208299050,314.76
292,324208353059,299.5
293,324208465509,584.9
294,353885771504,293.37
295,354312225010,23.38
296,354312225027,42.32
297,354312225133,33.9
298,354312225140,23.0
299,354312225164,43.73
300,354312425106,23.7
301,354312425403,23.7
302,354312625018,48.7
303,381519180736,57.88
304,381519180767,57.88
305,382903201761,51.24
306,382903201785,50.14
307,382903249138,41.4
308,382903249145,40.36
309,382903249152,40.98
310,382903267781,41.4
311,382903267798,41.4
312,382903267804,42.59
313,382903267859,99.6
314,382903267866,99.6
315,382903267873,102.34
316,602723131247,42.93
317,614143359361,487.4
318,614143359385,500.0
319,614143495489,408.07
320,637420140889,39.0
321,637420200804,23.46
322,637420200811,35.99
323,637420200897,31.35
324,637420223803,34.83
325,637420440828,29.0
326,637420440835,31.96
327,637420602004,31.44
328,637420720326,26.12
329,650240001314,396.4
330,650240001635,215.4
331,650240001864,334.82
332,650240003974,170.0
333,650240004001,93.21
334,650240004292,36.54
335,650240004643,36.54
336,650240005398,76.95
337,650240006364,471.0
338,650240006623,51.985
339,650240006647,71.25
340,650240006654,68.6
341,650240006678,172.14
342,650240007019,108.05
343,650240007408,84.668
344,650240007651,65.0
345,650240007750,51.94
346,650240007767,61.15
347,650240007828,36.54
348,650240008917,293.24
349,650240009518,45.748
350,650240009525,51.985
351,650240009563,36.54
352,650240010460,172.14
353,650240010507,106.6
354,650240010538,15.0
355,650240010712,79.64
356,650240010736,80.67
357,650240011139,199.75
358,650240011153,98.783
359,650240011351,69.0
360,650240011429,175.42
361,650240011832,81.28
362,650240011900,66.0
363,650240011917,89.507
364,650240012525,53.884
365,650240013805,75.69
366,650240013850,25.01
367,650240013874,61.18
368,650240013881,81.28
