point_of_sale_id,super_catalog_id,unidades_pedidas,precio_minimo,vendor_id,geo_zone,country
1182,7502216802919,20.0,5.9,10269,CDMX,MX
1182,7502216805040,10.0,105.94,19,CDMX,MX
1182,7502216806597,5.0,27.16,24,CDMX,MX
1182,7502221183881,4.0,42.5,11,CDMX,MX
1182,7502223112193,10.0,34.838,10269,CDMX,MX
1182,7502224227339,10.0,81.6,11,CDMX,MX
1182,7502227870532,30.0,5.79,34,CDMX,MX
1182,7502235760030,1.0,415.18,11,CDMX,MX
1182,7502246642073,6.0,103.17,11,CDMX,MX
1182,7502254000339,10.0,27.808,10269,CDMX,MX
1182,7502268541491,12.0,14.46,11,CDMX,MX
1182,7502268543570,1.0,32.59,11,CDMX,MX
1182,7503001007168,10.0,26.39,34,CDMX,MX
1182,7503003406051,30.0,9.87,10269,CDMX,MX
1182,7503008344211,10.0,18.177,10269,CDMX,MX
1182,7503008344488,5.0,23.19,24,CDMX,MX
1182,7503008344501,5.0,59.886,10269,CDMX,MX
1182,7503027446279,30.0,19.59,34,CDMX,MX
1182,7503036782016,3.0,55.379,10269,CDMX,MX
1182,7503046131224,24.0,18.18,20,CDMX,MX
1182,7506022300881,500.0,1.58,24,CDMX,MX
1182,7506195102695,5.0,71.15,11,CDMX,MX
1182,7506205810046,1.0,689.49,11,CDMX,MX
1182,7506339397802,6.0,70.74,12,CDMX,MX
1182,7506376000253,3.0,66.61,12,CDMX,MX
1182,7506400900733,3.0,298.93,11,CDMX,MX
1182,7506425625574,10.0,31.63,10273,CDMX,MX
1182,7506425648634,5.0,43.78,11,CDMX,MX
1182,7506475106771,5.0,100.77,11,CDMX,MX
1182,7509546000923,3.0,70.84,11,CDMX,MX
1182,7509546031828,24.0,16.2,10273,CDMX,MX
1182,7509546054650,8.0,45.609,10269,CDMX,MX
1182,7509546068909,6.0,12.21,11,CDMX,MX
1182,7509552624380,3.0,44.14,11,CDMX,MX
1182,8020030053090,2.0,311.92,11,CDMX,MX
1182,8429420171756,4.0,153.19,12,CDMX,MX
1590,008400004574,1.0,324.65,11,CDMX,MX
1590,013117000719,1.0,245.75,11,CDMX,MX
1590,013117019926,1.0,147.51,11,CDMX,MX
1590,013117019971,1.0,263.1,11,CDMX,MX
1590,013117022858,1.0,276.64,11,CDMX,MX
1590,020800600330,1.0,44.12,11,CDMX,MX
1590,036000183429,1.0,116.14,11,CDMX,MX
1590,037836050589,1.0,42.84,11,CDMX,MX
1590,037836050923,1.0,69.06,11,CDMX,MX
1590,041333001029,1.0,93.62,11,CDMX,MX
1590,056100663546,1.0,29.42,11,CDMX,MX
1590,067238891190,1.0,27.19,11,CDMX,MX
1590,3014260846800,2.0,36.09,11,CDMX,MX
1590,310119033227,1.0,104.1,11,CDMX,MX
1590,310158077046,1.0,73.53,11,CDMX,MX
1590,3282779391023,1.0,266.55,11,CDMX,MX
1590,3499320012829,1.0,183.72,11,CDMX,MX
1590,354312225133,1.0,35.44,11,CDMX,MX
1590,3614225108730,1.0,40.99,11,CDMX,MX
1590,3614225109010,1.0,40.99,11,CDMX,MX
