point_of_sale_id,super_catalog_id,unidades_pedidas,precio_minimo,vendor_id,geo_zone,country
1182,7501058625182,8.0,171.46,11,CDMX,MX
1182,7501058655486,3.0,229.92,11,CDMX,MX
1182,7501058655783,5.0,241.69,11,CDMX,MX
1182,7501058714312,10.0,133.02,11,CDMX,MX
1182,7501058715494,15.0,104.21,11,CDMX,MX
1182,7501058715517,15.0,78.36,11,CDMX,MX
1182,7501058715685,5.0,118.5,12,CDMX,MX
1182,7501058793393,2.0,76.58,11,CDMX,MX
1182,7501059225350,20.0,113.55,11,CDMX,MX
1182,7501059225411,16.0,67.29,11,CDMX,MX
1182,7501059278721,8.0,42.57,11,CDMX,MX
1182,7501061019008,3.0,432.61,11,CDMX,MX
1182,7501061811220,3.0,9.8,11,CDMX,MX
1182,7501065001337,4.0,126.25,11,CDMX,MX
1182,7501065001634,3.0,220.66,11,CDMX,MX
1182,7501065008336,2.0,174.3,12,CDMX,MX
1182,7501065020970,4.0,174.3,12,CDMX,MX
1182,7501065054029,3.0,68.33,11,CDMX,MX
1182,7501065054043,3.0,31.09,11,CDMX,MX
1182,7501065060891,10.0,39.23,12,CDMX,MX
1182,7501065062529,5.0,197.04,11,CDMX,MX
1182,7501065085191,5.0,70.17,11,CDMX,MX
1182,7501065095978,2.0,151.22,12,CDMX,MX
1182,7501070600709,5.0,93.94,11,CDMX,MX
1182,7501070600730,5.0,83.696,10269,CDMX,MX
1182,7501070602178,1.0,630.96,11,CDMX,MX
1182,7501070602451,3.0,467.84,11,CDMX,MX
1182,7501070612320,8.0,125.721,10269,CDMX,MX
1182,7501070613044,5.0,165.31,11,CDMX,MX
1182,7501070613440,5.0,140.0,41,CDMX,MX
1182,7501070614461,3.0,267.96,11,CDMX,MX
1182,7501070615048,4.0,452.1,11,CDMX,MX
1182,7501070617868,2.0,180.4,11,CDMX,MX
1182,7501070617981,1.0,180.4,11,CDMX,MX
1182,7501070618650,2.0,165.66,10273,CDMX,MX
1182,7501070619039,6.0,256.08,11,CDMX,MX
1182,7501070622152,3.0,281.16,11,CDMX,MX
1182,7501070634810,2.0,392.7,11,CDMX,MX
1182,7501070635435,1.0,368.94,11,CDMX,MX
1182,7501070635787,2.0,472.56,11,CDMX,MX
1182,7501070636517,1.0,444.84,11,CDMX,MX
1182,7501070636531,2.0,764.94,11,CDMX,MX
1182,7501070648022,1.0,948.42,11,CDMX,MX
1182,7501070903053,3.0,249.7,11,CDMX,MX
1182,7501070903473,4.0,296.94,41,CDMX,MX
1182,7501070903688,2.0,366.89,11,CDMX,MX
1182,7501070903695,3.0,631.56,11,CDMX,MX
1182,7501072300027,2.0,70.2,11,CDMX,MX
1182,7501072300133,5.0,71.59,11,CDMX,MX
1182,7501072300218,7.0,96.6,10273,CDMX,MX
1182,7501072340030,5.0,276.54,11,CDMX,MX
1182,7501072340115,2.0,193.92,11,CDMX,MX
1182,7501072340160,2.0,227.84,19,CDMX,MX
1182,7501072600677,5.0,12.19,10280,CDMX,MX
1182,7501072629012,5.0,11.11,11,CDMX,MX
1182,7501075710113,5.0,19.59,34,CDMX,MX
1182,7501075710250,20.0,5.29,34,CDMX,MX
1182,7501075710786,10.0,6.39,34,CDMX,MX
1182,7501075711332,20.0,7.88,41,CDMX,MX
1182,7501075713107,10.0,13.98,20,CDMX,MX
1182,7501075713770,5.0,92.79,34,CDMX,MX
1182,7501075714739,20.0,8.4,20,CDMX,MX
1182,7501075715927,10.0,11.52,20,CDMX,MX
1182,7501075717914,10.0,20.99,34,CDMX,MX
1182,7501075718676,5.0,90.89,34,CDMX,MX
1182,7501075724196,10.0,107.6,20,CDMX,MX
1182,7501080111325,3.0,169.58,11,CDMX,MX
1182,7501080160071,3.0,75.75,11,CDMX,MX
1182,7501080161238,11.0,60.23,11,CDMX,MX
1182,7501080911185,5.0,165.96,12,CDMX,MX
1182,7501080912076,3.0,163.41,11,CDMX,MX
1182,7501080912083,5.0,119.09,12,CDMX,MX
1182,7501080912274,6.0,142.6,12,CDMX,MX
1182,7501080912281,3.0,186.13,11,CDMX,MX
1182,7501082208764,2.0,1286.54,10273,CDMX,MX
1182,7501082212143,2.0,448.45,10273,CDMX,MX
1182,7501086310418,5.0,230.63,10273,CDMX,MX
1182,7501086310975,2.0,398.71,10273,CDMX,MX
1182,7501086311057,5.0,289.607,10269,CDMX,MX
1182,7501086315024,2.0,299.99,11,CDMX,MX
1182,7501086453016,9.0,64.9,12,CDMX,MX
1182,7501086453221,3.0,146.81,12,CDMX,MX
1182,7501086494262,48.0,24.85,12,CDMX,MX
1182,7501088504594,2.0,339.59,11,CDMX,MX
1182,7501088505003,30.0,58.37,11,CDMX,MX
1182,7501088505126,10.0,120.96,11,CDMX,MX
1182,7501088505416,2.0,130.22,20,CDMX,MX
1182,7501088505485,2.0,163.28,20,CDMX,MX
1182,7501088505720,8.0,171.06,41,CDMX,MX
1182,7501088505829,20.0,148.4,20,CDMX,MX
1182,7501088505836,10.0,151.2,41,CDMX,MX
1182,7501088505904,3.0,134.5,41,CDMX,MX
1182,7501088505966,13.0,246.91,11,CDMX,MX
1182,7501088506062,10.0,247.96,11,CDMX,MX
1182,7501088507007,2.0,554.37,11,CDMX,MX
1182,7501088507908,2.0,236.31,20,CDMX,MX
1182,7501088507915,5.0,248.84,11,CDMX,MX
1182,7501088508912,3.0,130.2,20,CDMX,MX
1182,7501088508929,5.0,116.54,20,CDMX,MX
1182,7501088508998,3.0,372.1,11,CDMX,MX
1182,7501088509001,1.0,247.8,41,CDMX,MX
1182,7501088509049,2.0,246.62,20,CDMX,MX
1182,7501088509773,22.0,114.88,11,CDMX,MX
1182,7501088509810,20.0,97.83,11,CDMX,MX
1182,7501088509902,3.0,350.8,11,CDMX,MX
1182,7501088513824,2.0,211.39,12,CDMX,MX
1182,7501088513848,4.0,140.02,11,CDMX,MX
1182,7501088531002,3.0,76.67,10273,CDMX,MX
1182,7501088545658,1.0,289.8,20,CDMX,MX
1182,7501088559112,2.0,121.1,20,CDMX,MX
1182,7501088559129,5.0,129.14,41,CDMX,MX
1182,7501088575495,5.0,112.64,11,CDMX,MX
1182,7501088579615,5.0,131.12,20,CDMX,MX
1182,7501089802958,1.0,195.5,11,CDMX,MX
1182,7501089803177,2.0,308.15,12,CDMX,MX
1182,7501089804136,1.0,352.78,12,CDMX,MX
1182,7501089804327,1.0,420.44,11,CDMX,MX
1182,7501089808936,2.0,580.75,12,CDMX,MX
1182,7501089809179,2.0,119.13,12,CDMX,MX
1182,7501089809315,10.0,243.947,10269,CDMX,MX
1182,7501089809438,4.0,205.0,12,CDMX,MX
1182,7501089809445,25.0,214.799,10269,CDMX,MX
1182,7501089810021,3.0,70.1,12,CDMX,MX
1182,7501089810038,3.0,111.44,11,CDMX,MX
1182,7501089810427,2.0,92.17,11,CDMX,MX
1182,7501092722373,2.0,444.86,11,CDMX,MX
1182,7501092723240,5.0,250.56,12,CDMX,MX
1182,7501092743064,5.0,357.41,10273,CDMX,MX
1182,7501092777380,1.0,443.55,12,CDMX,MX
1182,7501092793038,10.0,266.91,12,CDMX,MX
1182,7501092793045,3.0,232.9,10273,CDMX,MX
1182,7501092793052,5.0,126.26,12,CDMX,MX
1182,7501095409059,25.0,80.12,11,CDMX,MX
1182,7501095451096,16.0,35.27,12,CDMX,MX
1182,7501095452116,26.0,38.45,12,CDMX,MX
1182,7501095452147,10.0,71.98,12,CDMX,MX
1182,7501095452505,5.0,95.51,12,CDMX,MX
1182,7501098621151,10.0,410.26,12,CDMX,MX
1182,7501098621175,5.0,294.95,12,CDMX,MX
1182,7501100088095,2.0,95.908,10269,CDMX,MX
1182,7501100088217,7.0,82.9,12,CDMX,MX
1182,7501100089016,3.0,249.9,12,CDMX,MX
1182,7501101600067,10.0,26.19,34,CDMX,MX
1182,7501101600524,3.0,170.5,10273,CDMX,MX
1182,7501101600616,1.0,490.42,12,CDMX,MX
1182,7501101611148,2.0,999.44,12,CDMX,MX
1182,7501101611162,2.0,1231.32,12,CDMX,MX
1182,7501101642234,7.0,274.4,41,CDMX,MX
1182,7501109762446,10.0,32.95,24,CDMX,MX
1182,7501109902866,30.0,193.7,12,CDMX,MX
1182,7501109929351,3.0,1608.31,10273,CDMX,MX
1182,7501109929368,4.0,1704.81,12,CDMX,MX
1182,7501109930135,1.0,601.05,11,CDMX,MX
1182,7501119500366,5.0,18.52,11,CDMX,MX
1182,7501122900313,1.0,462.46,11,CDMX,MX
1182,7501122961024,2.0,233.16,20,CDMX,MX
1182,7501122961253,3.0,186.94,41,CDMX,MX
1182,7501122962106,14.0,131.35,10273,CDMX,MX
1182,7501122963707,10.0,180.54,41,CDMX,MX
1182,7501122969808,2.0,95.602,10269,CDMX,MX
1182,7501123011711,3.0,422.364,10269,CDMX,MX
1182,7501123013340,20.0,163.59,41,CDMX,MX
1182,7501123014101,20.0,179.47,41,CDMX,MX
1182,7501123014743,3.0,278.73,41,CDMX,MX
1182,7501123018024,8.0,329.28,12,CDMX,MX
1182,7501123018031,8.0,224.66,11,CDMX,MX
1182,7501124103248,49.0,304.44,10273,CDMX,MX
1182,7501124103279,20.0,239.94,12,CDMX,MX
1182,7501124109431,2.0,152.18,11,CDMX,MX
1182,7501124109684,2.0,256.8,41,CDMX,MX
1182,7501124182762,1.0,186.18,11,CDMX,MX
1182,7501124182878,2.0,600.08,11,CDMX,MX
1182,7501124183271,3.0,885.77,10273,CDMX,MX
1182,7501124183394,3.0,485.29,12,CDMX,MX
1182,7501124184667,1.0,190.77,11,CDMX,MX
1182,7501124760076,1.0,598.43,12,CDMX,MX
1182,7501124820770,2.0,713.2,10273,CDMX,MX
1182,7501125100192,5.0,41.472,10269,CDMX,MX
1182,7501125104268,60.0,17.89,12,CDMX,MX
1182,7501125104343,72.0,18.18,12,CDMX,MX
1182,7501125104350,60.0,35.69,10273,CDMX,MX
1182,7501125104411,12.0,17.89,34,CDMX,MX
1182,7501125104428,36.0,35.69,10273,CDMX,MX
1182,7501125106286,22.0,242.96,20,CDMX,MX
1182,7501125109928,2.0,96.473,10269,CDMX,MX
1182,7501125109935,5.0,54.82,11,CDMX,MX
1182,7501125115448,3.0,18.63,10273,CDMX,MX
1182,7501125118289,3.0,386.75,20,CDMX,MX
1182,7501125118296,5.0,305.73,12,CDMX,MX
1182,7501125118562,12.0,18.18,11,CDMX,MX
1182,7501125124075,5.0,288.54,12,CDMX,MX
1182,7501125124570,1.0,1012.36,12,CDMX,MX
1182,7501125126031,8.0,237.19,12,CDMX,MX
1182,7501125133329,2.0,130.29,11,CDMX,MX
1182,7501125143182,48.0,14.22,12,CDMX,MX
1182,7501125143205,12.0,14.23,11,CDMX,MX
1182,7501125144851,12.0,17.89,34,CDMX,MX
1182,7501125154720,1.0,150.33,11,CDMX,MX
1182,7501125159329,2.0,270.55,11,CDMX,MX
1182,7501125174797,60.0,17.89,34,CDMX,MX
1182,7501125175602,3.0,121.34,11,CDMX,MX
1182,7501125175626,4.0,309.17,12,CDMX,MX
1182,7501125185496,1.0,174.53,34,CDMX,MX
1182,7501125187179,12.0,25.78,10273,CDMX,MX
1182,7501125192623,10.0,29.9,41,CDMX,MX
