Unnamed: 0,super_catalog_id,vendor_id,max_price,precio_minimo_orders,min_price
44303,7502001162426,1358,56.53562,46.3,45.37863
44304,7502211781615,1358,33.859188,28.642,28.072024199999998
44305,7502216802964,1358,8.778308,6.17,6.047217
44306,7502227871317,1358,23.412276,21.49,21.062348999999998
44307,7502211780854,1358,185.111404,165.82,162.520182
44308,7502001165151,1358,34.294476,33.18,32.519718
44309,785118754235,1358,26.293468,21.15,20.729115
44310,7501008494226,1358,70.413016,60.25,59.051025
44311,7502216806504,1358,78.642032,59.3,58.119930000000004
44312,785120754810,1358,27.008584,22.73,22.277673
44313,7501384548520,1358,26.2746,26.54,14.57997156
44314,7503028771615,1358,20.541448,18.18,17.818218
44315,7503028771622,1358,66.785616,63.19,61.932519
44316,7501825300038,1358,81.57504399999999,62.79,61.540479000000005
44317,7501836000071,1358,62.090724,54.36,53.278236
44318,7502247373228,1358,17.846808,13.47,13.201947
44319,7502247373495,1358,54.867016,46.47,45.545246999999996
44320,7503000422238,1358,17.04878,15.52,15.211152
44321,7503000422511,1358,22.64534,21.62,21.189762
44322,7503000422283,1358,19.712328,16.3,15.97563
44323,7502001165526,1358,19.515412,18.01,17.651601000000003
44324,7502001165564,1358,24.82178,22.39,21.944439
44325,7502001166066,1358,21.380932,17.59,17.239959000000002
44326,7501258205078,1358,36.025264,30.42,29.814642
44327,7503028771684,1358,19.131944,16.97,16.632297
44328,7501123013302,1358,305.406352,220.0,215.622
44329,7501075721157,1358,47.798768,41.77,40.938777
44330,7501349025271,1358,20.510356,17.65,17.298764999999996
44331,7501349021495,1358,17.8779,16.1,15.779610000000002
44332,7502009745928,1358,72.765644,60.01,58.815801
44333,7502009746253,1358,109.360928,96.5,94.57965
44334,7502009745737,1358,95.493896,60.0,58.806
44335,7502211784197,1358,45.29068,41.47,40.644747
44336,7502009745881,1358,29.5374,21.07,20.650707
44337,7502001161511,1358,28.117532,24.94,24.443694
44338,7501349025288,1358,20.396352,17.65,17.298764999999996
44339,7501277060139,1358,32.688056,29.01,28.432701
44340,7501125116254,1358,149.303784,100.1,98.10801000000001
44341,7502009745836,1358,81.751232,61.5,60.276149999999994
44342,780083139544,1358,33.703728000000005,24.17,23.689017
44343,759684901058,1358,7.907732,6.5,6.3706499999999995
44344,7501563381795,1358,20.251256,17.05,16.710705
44345,7502226292182,1358,47.653672,42.49,41.644449
44346,7501563381467,1358,11.34858,9.59,9.399159
44347,7501825301752,1358,55.986328,44.71,43.820271
44348,7501825301721,1358,39.942856,30.83,30.216483
44349,7501573900535,1358,19.815968,11.59,11.359359
44350,7501573900115,1358,29.133204,24.09,23.610609
44351,7501287624505,1358,20.956008,20.956,20.5389756
44352,7501563380095,1358,9.451968,8.46,8.291646
44353,7501563381733,1358,10.135992,9.48,9.291348
44354,7501563380002,1358,10.67492,8.1,7.93881
44355,7501563310436,1358,10.809652,8.81,8.634681
44356,7502009745560,1358,30.698168000000003,27.15,26.609714999999998
44357,7502009745362,1358,46.43072,39.5,38.71395
44358,7502009744570,1358,92.86144,28.79,28.217079
44359,7502009745379,1358,92.86144,84.11,82.436211
44360,7502009747373,1358,68.76513999999999,59.8,58.60998
44361,7501573908104,1358,22.74898,18.55,18.180855
44362,7501573908111,1358,21.080376,18.43,18.063243
44363,7501825300137,1358,18.852116,12.81,12.555081000000001
44364,7501825300120,1358,18.385736,14.592,14.3016192
44365,7501478316226,1358,39.818488,37.17,36.430317
44366,780083139575,1358,21.722944,16.95,16.612695
44367,759684351051,1358,98.789648,93.99,92.119599
44368,7501573900177,1358,14.063948,12.29,12.045428999999999
44369,7501825304555,1358,41.155444,35.5,34.79355
44370,7502006923558,1358,25.630172,21.46,21.032946
44371,7502006923534,1358,21.805856,19.96,19.562796
44372,7502006923527,1358,23.049536,15.76,15.446375999999999
44373,7502006922520,1358,18.323552,12.0,11.7612
44374,7506022327635,1358,44.40974,36.78,36.048078
44375,7501573921264,1358,60.764132,55.42,54.317142
44376,7502003380583,1358,35.268692,29.07,28.491507
44377,7502003380712,1358,44.25428,42.98,42.124697999999995
44378,7502003380705,1358,49.736836,44.418,43.5340818
44379,7501573903260,1358,15.07962,12.95,12.692295
44380,7501573903246,1358,16.53058,12.48,12.231648
44381,7502211781189,1358,20.945644,20.88,20.464488
44382,7502211781059,1358,22.8008,21.79,21.356379
44383,7503000422887,1358,21.0969,21.31,17.165582280000002
44384,7501349024052,1358,77.771456,66.95,65.617695
44385,821998000434,1358,17.504796,12.5,12.25125
44386,7501825301561,1358,30.30687,30.613,29.69348184
44387,7501573907992,1358,22.9581,23.19,16.37553456
44388,7501573908036,1358,17.784624,14.68,14.387868000000001
44389,7501537161163,1358,20.271984,18.42,18.053442
44390,7501537101961,1358,21.101104,19.13,18.749313
44391,7501537166311,1358,22.096048,18.01,17.651601000000003
44392,7501537103354,1358,39.911764,35.99,35.273799
44393,7502208892751,1358,37.496952,23.444,22.9774644
44394,7501537193010,1358,19.142308,16.85,16.514685
44395,7501537101879,1358,7.5139,5.42,5.312142
44396,7501075726251,1358,136.0275,128.0,125.4528
44397,7501349024755,1358,144.00778,126.69,124.168869
44398,7501349024304,1358,143.79013600000002,127.65,125.10976500000001
44399,7502001160019,1358,32.967884,27.75,27.197775
44400,7502001160026,1358,28.521728,25.8,25.28658
44401,7501537164638,1358,21.577848,16.57,16.240257
44402,7501349024045,1358,28.7601,25.53,25.021953
44403,7502216795037,1358,105.66098,93.25,91.394325
44404,637420223803,1358,39.911764,34.41,33.725241
44405,714908100099,1358,90.03206800000001,78.26,76.70262600000001
44406,7506022308245,1358,15.742916,11.86,11.623986
44407,7502234760451,1358,20.147616000000003,19.33,18.945333
44408,7502234760352,1358,42.44058,33.99,33.313599
44409,7501836000118,1358,40.657972,35.87,35.156186999999996
44410,7501547503168,1358,53.46,54.0,52.49200176
44411,7501384541163,1358,17.701711999999997,15.38,15.073938
44412,7502009746734,1358,93.835656,85.39,83.69073900000001
44413,7502009740251,1358,55.271212,14.75,14.456475
44414,7502009746727,1358,55.271212,48.0,47.0448
44415,785120754483,1358,71.14886000000001,62.13,60.893613
44416,7502227426067,1358,72.73455200000001,61.03,59.815503
44417,7502009745126,1358,144.878356,127.11,124.580511
44418,7502009741296,1358,72.548,62.52,61.27585199999999
44419,7502009743627,1358,32.522232,29.02,28.442502
44420,7501349022768,1358,50.10994,36.33,35.607033
44421,7503000422863,1358,34.460300000000004,30.38,29.775438
44422,7502009745614,1358,62.46382800000001,55.46,54.356346
44423,7502009740480,1358,43.352612,37.51,36.763551
44424,7503000422627,1358,32.397864,27.09,26.550908999999997
44425,7501349022515,1358,26.89458,23.86,23.385186
44426,7501349021808,1358,23.754288000000003,22.46,22.013046
44427,7501349022799,1358,40.10868,35.52,34.813152
44428,780083149130,1358,25.6311,25.89,19.92561912
44429,780083149840,1358,20.126888,18.23,17.867223
44430,7502208894557,1358,17.432248,13.9,13.623389999999999
44431,7501125195105,1358,35.403423999999994,31.38,30.755537999999998
44432,7502216805385,1358,89.34804399999999,58.76,57.590676
44433,7502216805378,1358,65.469388,57.0,55.8657
44434,7501537102982,1358,20.064704,18.56,18.190656
44435,7502009741289,1358,44.420104,39.2,38.41992
44436,7501052713625,1358,19.505048,17.43,17.083143
44437,7501277092314,1358,19.629416000000003,16.78,16.446078
44438,785118754327,1358,65.34,66.0,38.80468152
44439,7502213040871,1358,83.834396,38.18,37.420218
44440,7702018913619,1358,83.834396,50.72,49.710672
44441,7502208892355,1358,7.41026,6.19,6.066819000000001
