point_of_sale_id,super_catalog_id,unidades_pedidas,precio_minimo,geo_zone,vendor_id,name,base_price,percentage,precio_vendedor,precio_total_vendedor,status,valor_total_vendedor
2119,7503014492197,1.0,393.79,Estado de México,1159,México,360.5512,0.0,360.5512,360.5512,,360.5512
1616,300090286200,1.0,365.69,Estado de México,1159,México,355.5516,0.0,355.5516,355.5516,,355.5516
1616,7502009742774,4.0,91.8,Estado de México,1160,Estado de México,84.78,0.0,84.78,339.12,,339.12
1616,7501537166311,16.0,19.56,Estado de México,1303,Estado de México,19.549,0.0,19.549,312.784,,312.784
1616,7501537102586,13.0,23.75,Estado de México,1303,Estado de México,22.374,0.0,22.374,290.86199999999997,,290.86199999999997
1616,7502227426449,3.0,91.95,Estado de México,1152,México,89.414,0.0,89.414,268.242,,268.242
1616,7501125112881,4.0,61.75,Estado de México,1303,Estado de México,58.5566,0.0,58.5566,234.2264,,234.2264
2119,7502216804708,2.0,210.13,Estado de México,1150,México,114.1371,0.0,114.1371,228.2742,,228.2742
2119,7501349013223,3.0,90.9,Estado de México,1303,Estado de México,72.205,0.0,72.205,216.615,,216.615
1616,7501258209465,3.0,61.75,Estado de México,1152,México,56.9428,0.0,56.9428,170.8284,,170.8284
1601,7501122966609,1.0,209.89,Estado de México,1152,México,132.5371,0.0,132.5371,132.5371,,132.5371
2119,7502216799318,1.0,149.31,Estado de México,1150,México,114.576,0.0,114.576,114.576,,114.576
2119,7502211780854,1.0,167.95,Estado de México,1161,Estado de México,110.6494,0.0,110.6494,110.6494,,110.6494
1616,7501285600334,1.0,240.6,Estado de México,1153,México,110.0,0.0,110.0,110.0,,110.0
2278,7502227427309,3.0,28.003,Estado de México,1152,México,25.6006,0.0,25.6006,76.8018,2.0,76.8018
1616,7501825300274,2.0,43.39,Estado de México,1152,México,38.3892,0.0,38.3892,76.7784,,76.7784
1616,7502009741067,2.0,41.27,Estado de México,1163,Estado de México,37.88,0.0,37.88,75.76,,75.76
2119,7502009745836,1.0,84.33,Estado de México,1160,Estado de México,75.37,0.0,75.37,75.37,,75.37
2278,7502216807914,2.0,37.45,Estado de México,1163,Estado de México,29.11,0.0,29.11,58.22,2.0,58.22
1616,780083140663,3.0,20.17,Estado de México,1160,Estado de México,18.77,0.0,18.77,56.31,,56.31
1601,7501027524140,10.0,4.75,Estado de México,1161,Estado de México,4.6364,0.0,4.6364,46.364000000000004,,46.364000000000004
2119,7502009744945,1.0,54.98,Estado de México,1161,Estado de México,41.4286,0.0,41.4286,41.4286,,41.4286
2136,7502214985348,1.0,41.04,Estado de México,1161,Estado de México,38.8935,0.0,38.8935,38.8935,,38.8935
1616,7502004401508,1.0,40.57,Estado de México,1160,Estado de México,37.89,0.0,37.89,37.89,,37.89
2119,7501349021983,1.0,37.95,Estado de México,1160,Estado de México,35.73,0.0,35.73,35.73,,35.73
1616,7502254000339,1.0,56.0,Estado de México,1150,México,30.0878,0.0,30.0878,30.0878,,30.0878
1616,7502009740817,2.0,14.87,Estado de México,1161,Estado de México,13.5455,0.0,13.5455,27.091,,27.091
1616,7501825301301,1.0,31.6,Estado de México,1150,México,26.1492,0.0,26.1492,26.1492,,26.1492
1616,7502009740312,1.0,7.27,Estado de México,1163,Estado de México,6.99,0.0,6.99,6.99,,6.99
2119,7501537102357,1.0,6.71,Estado de México,1163,Estado de México,3.98,0.0,3.98,3.98,,3.98
1679,8027950210473,11.0,1819.42,Guanajuato,1159,México,1303.7714,0.0,1303.7714,14341.485400000001,,14341.485400000001
1679,7503007822666,11.0,839.25,Guanajuato,1156,México,808.73,0.0,808.73,8896.03,,8896.03
1679,7795367551731,2.0,3029.72,Guanajuato,1156,México,2574.55,0.0,2574.55,5149.1,,5149.1
1679,7501328979656,3.0,1560.98,Guanajuato,1156,México,1513.3,0.0,1513.3,4539.9,,4539.9
1679,7501037901047,4.0,1088.54,Guanajuato,1156,México,1088.21,0.0,1088.21,4352.84,,4352.84
1680,7503007822710,1.0,4308.22,Guanajuato,1156,México,4141.16,0.0,4141.16,4141.16,,4141.16
1679,5033439034211,9.0,455.33,Guanajuato,1159,México,441.5424,0.0,441.5424,3973.8815999999997,,3973.8815999999997
1679,7590002012475,26.0,156.23,Guanajuato,1159,México,150.8,0.0,150.8,3920.8,,3920.8
1679,7501082212075,3.0,2139.21,Guanajuato,1159,México,1173.7344,0.0,1173.7344,3521.2032,,3521.2032
1680,7501098604529,5.0,902.12,Guanajuato,1164,México,699.0,0.0,699.0,3495.0,,3495.0
1679,7501299305386,6.0,569.27,Guanajuato,1159,México,560.164,0.0,560.164,3360.984,,3360.984
1679,7501124815899,3.0,1670.59,Guanajuato,1153,México,999.0,0.0,999.0,2997.0,,2997.0
1679,7501298204987,3.0,708.48,Guanajuato,1153,México,400.0,0.0,400.0,1200.0,,1200.0
1679,7501300408228,5.0,245.0,Guanajuato,1155,Guanajuato,235.45,0.3,236.15634999999997,1180.7817499999999,,1180.7817499999999
1681,7501033957871,2.0,1007.44,Guanajuato,1153,México,540.0,0.0,540.0,1080.0,,1080.0
1680,7501033952869,2.0,951.07,Guanajuato,1153,México,450.0,0.0,450.0,900.0,,900.0
1682,7501318608191,1.0,2169.6,Guanajuato,1153,México,900.0,0.0,900.0,900.0,,900.0
1679,7501123011711,1.0,578.4,Guanajuato,1152,México,422.3635,0.0,422.3635,422.3635,,422.3635
1680,7501159580182,2.0,217.49,Guanajuato,1152,México,190.096,0.0,190.096,380.192,,380.192
1679,7501125118289,1.0,384.41,Guanajuato,1155,Guanajuato,364.22,0.3,365.31266000000005,365.31266000000005,,365.31266000000005
1682,7501123011209,1.0,538.59,Guanajuato,1152,México,356.9854,0.0,356.9854,356.9854,,356.9854
1679,650240050398,1.0,171.71,Guanajuato,1152,México,151.8862,0.0,151.8862,151.8862,,151.8862
1680,7501125155758,1.0,168.45,Guanajuato,1155,Guanajuato,114.9,0.3,115.24470000000001,115.24470000000001,,115.24470000000001
1679,7501109760541,2.0,41.04,Guanajuato,1150,México,40.4135,0.0,40.4135,80.827,,80.827
1679,650240035401,1.0,36.54,Guanajuato,1152,México,32.2335,0.0,32.2335,32.2335,,32.2335
1170,7501092743064,11.0,375.28,Hidalgo,1156,México,357.41,0.0,357.41,3931.51,,3931.51
1238,7501086301393,1.0,1147.0,Hidalgo,1159,México,1015.0,0.0,1015.0,1015.0,,1015.0
1170,7501037925579,2.0,716.721,Hidalgo,1153,México,390.0,0.0,390.0,780.0,,780.0
1170,7501092722113,1.0,808.59,Hidalgo,1159,México,742.41,0.0,742.41,742.41,,742.41
1238,7501300420640,1.0,840.0,Hidalgo,1159,México,670.3872,0.0,670.3872,670.3872,,670.3872
1238,7501037946154,1.0,651.33,Hidalgo,1156,México,646.4,0.0,646.4,646.4,,646.4
1170,7501124182878,1.0,681.91,Hidalgo,1159,México,590.7532,0.0,590.7532,590.7532,,590.7532
1238,7501298216508,1.0,592.0,Hidalgo,1159,México,520.4224,0.0,520.4224,520.4224,,520.4224
1238,7503003738671,5.0,109.09,Hidalgo,1152,México,101.6378,0.0,101.6378,508.18899999999996,,508.18899999999996
1238,7501314704552,2.0,248.64,Hidalgo,1156,México,239.26,0.0,239.26,478.52,,478.52
1238,7501318612655,3.0,120.89,Hidalgo,1161,Hidalgo,117.013,0.0,117.013,351.039,,351.039
1238,7502226294131,2.0,157.5,Hidalgo,1152,México,137.2623,0.0,137.2623,274.5246,,274.5246
1170,7501094910570,2.0,144.28,Hidalgo,1161,Hidalgo,133.7662,0.0,133.7662,267.5324,,267.5324
1238,7502009741487,5.0,59.22,Hidalgo,1152,México,53.0602,0.0,53.0602,265.301,,265.301
1170,7501300407290,1.0,277.5,Hidalgo,1156,México,263.13,0.0,263.13,263.13,,263.13
1170,7501300407153,1.0,265.0,Hidalgo,1156,México,259.38,0.0,259.38,259.38,,259.38
1170,7501349021112,2.0,318.06,Hidalgo,1150,México,122.3607,0.0,122.3607,244.7214,,244.7214
1238,7502009747779,5.0,43.06,Hidalgo,1152,México,43.0599,0.0,43.0599,215.2995,,215.2995
1170,650240015571,3.0,70.98,Hidalgo,1161,Hidalgo,67.013,0.0,67.013,201.03900000000002,,201.03900000000002
1238,7501088505485,1.0,191.2,Hidalgo,1150,México,188.5884,0.0,188.5884,188.5884,,188.5884
1238,7502009745539,5.0,39.69,Hidalgo,1152,México,37.0598,0.0,37.0598,185.299,,185.299
1238,7503008344716,2.0,93.04,Hidalgo,1150,México,89.5472,0.0,89.5472,179.0944,,179.0944
1238,7502009740510,3.0,69.93,Hidalgo,1161,Hidalgo,59.0909,0.0,59.0909,177.2727,,177.2727
1238,7502009745737,2.0,107.1,Hidalgo,1160,Hidalgo,79.71,0.0,79.71,159.42,,159.42
1238,7502009745126,1.0,151.2,Hidalgo,1160,Hidalgo,133.0,0.0,133.0,133.0,,133.0
1238,780083149857,1.0,199.5,Hidalgo,1150,México,131.0348,0.0,131.0348,131.0348,,131.0348
1170,7502214985003,4.0,28.94,Hidalgo,1150,México,25.9298,0.0,25.9298,103.7192,,103.7192
1238,650240007651,1.0,100.34,Hidalgo,1161,Hidalgo,94.7013,0.0,94.7013,94.7013,,94.7013
1238,780083148645,10.0,51.21,Hidalgo,1160,Hidalgo,8.11,0.0,8.11,81.1,,81.1
1238,7502009743856,5.0,40.95,Hidalgo,1160,Hidalgo,7.37,0.0,7.37,36.85,,36.85
1170,785118752637,1.0,29.34,Hidalgo,1160,Hidalgo,26.22,0.0,26.22,26.22,,26.22
2138,7502216803633,20.0,95.33,Jalisco,1159,México,47.85,0.0,47.85,957.0,,957.0
2138,7501385490316,8.0,36.67,Jalisco,1159,México,31.088,0.0,31.088,248.704,,248.704
2138,7502223112353,2.0,115.92,Jalisco,1150,México,111.8618,0.0,111.8618,223.7236,,223.7236
2138,7501027209658,5.0,42.82,Jalisco,1152,México,41.2793,0.0,41.2793,206.3965,,206.3965
2138,7502009746734,2.0,114.6,Jalisco,1150,México,98.637,0.0,98.637,197.274,,197.274
2138,7502006920038,8.0,26.65,Jalisco,1150,México,24.0009,0.0,24.0009,192.0072,,192.0072
2138,7501358143393,2.0,97.47,Jalisco,1156,México,85.35,0.0,85.35,170.7,,170.7
2138,7506022301772,1.0,175.94,Jalisco,1152,México,164.885,0.0,164.885,164.885,,164.885
2138,7501277078295,1.0,162.0,Jalisco,1159,México,130.1636,0.0,130.1636,130.1636,,130.1636
2138,7502009746727,2.0,57.6,Jalisco,1152,México,51.9542,0.0,51.9542,103.9084,,103.9084
2138,7502009744358,4.0,30.6,Jalisco,1150,México,23.0885,0.0,23.0885,92.354,,92.354
2139,7502009740244,13.0,16.8,Jalisco,1150,México,6.9185,0.0,6.9185,89.9405,,89.9405
